Unidad_ID,Departamento,Periodo_ID,Ingresos,Gastos,Activos,Pasivos,EBIT,ROA,ROE,Margen_Explotacion,Endeudamiento,Indice_Rentabilidad,Plantilla,Costes_Fijos,CostesVariables,Crecimiento_Ingresos
UO_086,Logística,1,123456.78,24987.37939901398,10860.71712529243,9234.423602007368,3811.366785824219,0.1409066220005771,-0.0036024499443553,0.1563453492017261,0.8718747675047791,-0.1084936741418041,270.0,5538.49975851708,5589.317523124901,0.1342887989633359
UO_015,Tecnología,8,30450.09122566627,19446.985845680694,17670.37635962656,12420.63272664134,12315.64901500826,,,,,,295.0,1099.788083353763,2547.4730929994043,0.1014299053750473
UO_077,Finanzas,1,47170.07320439235,33076.39147668534,6926.752898086423,2096.1445092851363,13716.391078122291,0.0482565130806665,0.136340858506647,0.3158953067923716,0.4992443344942922,0.0798394267139018,353.0,6912.371977394632,13080.839384248897,0.2335462570434174
UO_001,Tecnología,9,19592.915242189152,13880.2560926877,23211.886570210405,19841.30391647396,6666.729730763671,,,,,,138.0,4808.517119981818,4559.273614360775,-0.0738369816636357
UO_118,Logística,2,19593.07607887804,13469.944560851243,12749.502546955518,4685.473804043898,6000.973262742122,0.1094129679408496,-0.0161622300719658,0.2758450051444255,0.6074571308259938,0.0020401258778396,,,,
UO_038,Finanzas,9,48513.93754741146,37853.09587254921,30597.94205235992,10921.33992115094,11702.63497530784,0.1027314325906692,0.0615283363668487,0.1741734984543677,0.3591944260396854,0.0490955501394699,171.0,6359.266058563521,14410.066782007085,-0.0815735617171763
UO_107,Comercial,7,32328.91676454367,25457.20620518877,18048.09491365029,9020.520495073246,6780.914398054107,0.056001612602729,-0.0348199745285966,0.2987843937964176,0.3026157479739482,0.0392457118829321,,,,
UO_109,Comercial,9,17418.05876459637,12626.526569484558,22862.48396273239,11983.137122971306,4269.831618117031,0.1432704118114856,0.1804180854077751,0.0739557799916816,0.8455590260732044,-0.0966402563560912,405.0,19017.69084483651,11995.954958293887,0.0743073231624138
UO_053,Finanzas,3,28890.84441887217,20911.95029107161,10152.33113924164,4351.086520203669,7019.352731525658,-0.0147095752304477,0.0888854798915943,0.1813850831599139,0.817291774975873,-0.0891747714803683,241.0,4083.341345119288,9425.159132140749,-0.0146452349108382
UO_052,Tecnología,1,17470.88663313352,15548.99230197297,12662.506490630049,8244.216044767785,1864.568985144492,0.0436877578324872,0.1636494939410897,0.3912599182590326,0.6120496099299504,0.0917265688453135,428.0,9080.605036428182,9894.592763854784,-0.0920659901471137
UO_001,Tecnología,1,17450.701427043034,15291.22069831034,13695.420944783711,7748.163292473451,2380.1750439792413,0.0576028506322481,0.045512566933695,0.1870881749972799,0.6187984756039056,-0.0097230321315753,477.0,3427.822633442583,6562.475293154296,-0.0220588723700648
UO_011,Comercial,10,24859.14907462068,17593.529307276887,30152.450872214074,9664.02192341844,7570.983551229212,0.0567362828017795,0.066691492392476,0.112166576085126,0.482493152691279,-0.0184234367368175,304.0,8194.308602786457,6387.1480373431295,0.1307726351228208
UO_058,Comercial,6,8462.161172096256,7783.715484496846,49336.83556216188,24263.42340820599,729.6355789145941,,,,,,163.0,9761.854909675369,19563.37665958311,-0.0955178427770115
UO_040,Finanzas,9,16628.215084687217,11878.52989397987,34410.219811888135,24562.734795082557,4714.41468575704,0.1083331834777966,0.2078636166352836,0.1891426953116944,0.3129761954770763,0.0769172788390765,382.0,5730.039704823888,12276.372000440331,0.2339166152066169
UO_086,Tecnología,6,13274.291050599491,9611.233604415183,4905.898567271973,3605.4552994024407,2995.4949193159323,0.1352470574970293,0.2200315275521182,0.2538165514640519,0.50878119969313,0.0800499760784544,338.0,6705.621835448769,14344.44511427489,-0.0861468727745233
UO_099,Logística,5,25774.05555461012,20025.71829897811,8808.622579740122,6332.255874390545,6478.450622241172,0.0500696650754106,0.0198713671646548,0.1804348727182627,0.8308049909720101,-0.0682125123611656,206.0,4625.370899060775,3910.20034847485,-0.0603399167422114
UO_060,Tecnología,2,13988.45970997104,13000.7665249025,10144.96625807039,4936.376362881761,1181.238445093668,0.004215247751514,0.032676870421853,0.2896226898568589,0.3615207228675864,0.0861367131912037,279.0,3047.5918967002253,5667.272165087255,0.1680381550003347
UO_115,Comercial,2,10870.93669974664,9856.806600104755,8010.390467164858,2882.125298943897,976.355401442206,0.0624238517887232,0.2064449693707353,0.2532549185918923,0.5035220587631508,0.0704167693858032,334.0,5216.91371670083,3865.001476874562,0.0271257493607025
UO_044,Finanzas,8,45835.96777338151,29147.036303675894,6973.321734016793,3231.997321939643,13424.333838072474,0.0273960446517987,0.1992355882515919,0.1449276809422734,0.7626816289024934,-0.0610207319882117,355.0,4101.4705118377615,5527.914994547355,0.0403588189744733
UO_006,Operaciones,1,19675.153002664345,14509.554913548927,23104.885029304944,18462.44774669789,4483.310685056429,,,,,,,,,
UO_028,Finanzas,8,22782.86739295765,18082.30428807788,15860.061634846465,14088.214860857895,4987.347990502223,0.0773511979223653,0.0139325272532886,0.3765442117870765,0.5858029760966197,0.0568442659906057,317.0,8288.791488932116,12245.6395512829,0.1018306143876592
UO_031,Industrial,10,10803.50510149544,8384.561042775764,22643.84247544509,13502.70914789956,2527.3894990695057,0.0148532682282552,0.0943753847114716,0.2340107426580661,0.6655172348359958,0.0033306915603223,,,,
UO_119,Operaciones,7,16777.74588789271,11205.05238454799,27290.21826548843,8345.900361508046,6214.366244415325,0.1185471719613519,0.009348096881402,0.0716775511511541,0.3955698224096751,-0.0300504331555824,497.0,18234.04507332692,16000.907835750098,-0.0410926303339152
UO_008,Logística,7,23282.593373701693,20967.97460718926,21149.47149832868,8121.965707131605,2086.7528917251225,0.0279039219070841,0.1234964195927502,0.1851103927861685,0.5782054834639068,-0.0355467443199463,188.0,5928.593950632551,16768.23429001172,0.1093581253444849
UO_005,Operaciones,5,12388.2436767816,10368.083787149611,26759.84991557096,13199.2516883817,2233.191338198053,0.1451456066578941,0.1519894183059048,0.1978288859794521,0.6653994666311571,0.0415784005531126,240.0,6472.972710365861,10532.050031724111,0.1095340961544883
UO_106,Operaciones,3,26578.26376885947,23741.510691647345,17296.866350242082,11193.687973164911,3050.0587778217164,0.1155136028119666,0.2298723949129106,0.3888896821194539,0.5575936594225172,0.1314361099512782,,,,
