Unidad_ID,Periodo_ID,R.O.A,ROE,Margen_Explotacion,Endeudamiento,Indice_Rentabilidad
UO_082,6,0.08723770786530995,0.007009923950663979,0.11505601004309342,0.8502591031030767,-0.10353408344344074
UO_120,4,-0.019214318644218863,0.006369255983320513,0.16020299154393056,0.38038492004986874,-0.034357884219780026
UO_047,2,0.08273552409047269,0.11960070491292214,0.36134884780611415,0.7029070843686225,0.05836391733778912
UO_107,7,0.05600161260272904,-0.03481997452859662,0.2987843937964176,0.30261574797394825,0.03924571188293214
UO_025,2,0.07014983608899451,0.19030086929067785,0.2915675936371359,0.8547906632431086,-0.05039405098476793
UO_091,7,0.07246384447370521,1.6,0.31251506876083257,0.3675024799428549,0.046273282445449315
UO_027,7,0.010082004780975127,0.15975894200585633,0.21974801910159694,0.3569305380885448,0.04551196518548155
UO_012,1,0.11089458071947934,0.002389661048805808,0.21255616479211456,0.4998045798313466,0.038540300091774296
UO_023,10,0.07442983557175763,0.14270720523585712,0.2750899086901116,0.5241397716234484,0.0548915113126444
UO_017,10,0.025933058114489007,0.12822119630550805,0.2761737944422474,0.42858004339372713,0.053534697265770016
UO_044,3,0.1393548629161235,0.1766983755753831,0.11000554073287147,0.6510729965562749,0.0033810019890356223
UO_071,3,-0.017828469299310475,0.039220387795291176,0.12374750308811008,0.5657484588251782,-0.049167267773073786
UO_024,6,0.10340932637996414,0.22994967249145276,0.292271458911739,0.3205053534246524,0.13995947775550005
UO_071,3,0.04480998156170764,0.23839032081871958,0.08017404464435933,0.4917912373531804,0.009797461168582263
UO_093,9,0.06883262132292216,0.21043708336640643,0.06651474404912291,0.7862597481439024,-0.0810666946343462
UO_060,5,0.02955665740574887,0.12161012984816254,0.2856401102894857,0.7138209209171211,-0.002907832379596297
UO_053,6,0.034612869964770046,0.07608648119840515,0.27595126792243085,0.7349225121479284,-0.03113329683373913
UO_092,6,-0.017421743516146764,-0.03260227442901355,0.22302804630231443,0.7188701544501142,-0.04795259973547139
UO_087,8,0.10407366508102336,0.23416834043829687,0.0706077156132143,0.48658381282981994,-0.025977686660387637
UO_074,10,0.10083572983612213,0.23553440310951007,0.09328819840019094,0.3597983532460655,0.014910169326021985
UO_016,3,0.09124089406922775,-0.04439346350609485,0.3641012130957436,0.4634803104198576,0.06091362049081428
UO_107,9,0.12925161569928134,0.057066263992216024,0.2625442398550044,0.7990711801110957,-0.015334438543691901
UO_112,7,0.13321548869493377,0.21401091047747856,0.20632008358758,0.8882824786698427,-0.013949894275946114
UO_098,6,0.0745955343022934,-0.025744390088114515,0.2239036346069611,0.5963082088449368,-0.02076271007076252
UO_025,1,0.09641999365140065,0.008969913013062207,0.33214792622208755,0.30582021295382533,0.08549912941530939
UO_066,4,-0.018130271818021834,0.24360319504587724,0.09941413009114602,0.3840268872805374,0.022515734693790097
UO_050,5,0.12387832000878375,0.20418664363610456,0.163070725951107,0.49324834518975946,0.05047772036435876
UO_069,2,0.11879028210201457,0.22361904822512907,0.10673206880186875,0.6471512091557698,-0.052251446900114885
UO_078,1,-0.016557734868005866,-0.007353674403404849,0.0994325022276847,0.3450561874831884,-0.012629645969790486
UO_095,2,0.07228028684609208,0.013394787690053478,0.13807545121699108,0.8660143792259289,-0.10737404730995659
UO_040,8,0.13413144697433582,0.1316249753055247,0.24627628956259898,0.5190502039706404,0.07981322440769266
UO_006,10,0.010835957795317673,0.10052146630080973,0.18630863574460146,0.8475505307548938,-0.08571879007244042
UO_064,6,0.039949636664706675,0.03955101716411466,0.34387210785808997,0.7683130816542132,-0.02010380943552143
UO_028,10,0.036279125348175775,0.2151538899211739,0.16422410388378234,0.7532623635093487,-0.02171567387720856
UO_009,2,0.04050988081795774,0.22041658466067193,0.33726136049125177,0.6640317478693393,0.09689973555070544
UO_006,9,-0.012879374822632647,0.037505203043983346,0.15711764332144518,0.6760702902311069,-0.09989688538065539
UO_117,8,0.027433006240112284,-0.003274057822418068,0.319640643736111,0.6828019411297489,0.0128955183916817
UO_017,4,0.030125573159040044,-0.005272273768905961,0.358857044947423,0.6772328322153494,0.0242733891004937
UO_040,10,0.12719824824323048,0.0953275586175817,0.3421504284499649,0.6322369388390168,0.054265577269782275
UO_099,7,0.039859721212389426,-0.010124451379594127,0.3993027526733253,0.8918484110897333,0.02876508483538333
UO_076,3,0.05602684578190373,0.0920020666285676,0.1484411337512645,0.7393743404554177,-0.09715821229165861
UO_045,6,0.04472547017966606,0.08858022185795723,0.14365963282956748,0.7661678330355128,-0.04685967391423365
UO_082,3,0.0005144864322688993,0.2152330639616971,0.2197733275303593,0.8234776890502045,-0.014179433564008217
UO_119,10,0.1483606488133561,0.038863131940011106,0.34352301963061577,0.4293838576355095,0.11292566571626601
UO_043,3,0.12039028241980422,0.11819573759229322,0.37075598187125863,0.3502824954570365,0.1473775432986959
UO_098,9,0.07195645219465235,0.17304995928522893,0.3933048617469496,0.5897366619591593,0.09308312052396746
UO_046,6,0.06098196404615913,0.1287744385149719,0.3419881380621727,0.6084484173715639,0.04695535840547886
UO_063,8,0.09037330332871153,0.23622035349404108,0.08820056275589852,0.7975090679699506,-0.07111033799676861
UO_001,4,0.03549329524895048,0.130683244149931,0.31546210540441144,0.5662701475694014,0.057920481770754005
UO_059,4,-0.01145191203973865,0.22055865354103354,0.2760050354739746,0.6425118153265876,0.02359618856908553
UO_063,8,0.04873385831449681,0.023516916776122887,0.3631290804315335,0.616242563108075,0.03223819476363526
UO_079,7,0.14727618815933632,0.11822583183383091,0.3221735433381404,0.32292167025443463,0.10631145898375377
UO_018,5,0.01099895699921287,0.11299177796999633,0.2182714002269283,0.6691289379581484,-0.02987169963159799
UO_086,2,0.06970989966600528,0.24683563304202505,0.1872865609165216,0.7968259714645514,-0.005600963873142139
UO_082,6,-0.01855136262533163,0.011351894019737047,0.31412669004182614,0.3945003288454823,0.04568302579668503
UO_113,1,0.0007453575803594119,-0.007701980490206768,0.37979374427120904,0.6565990403559575,0.04339070942602509
UO_065,7,0.0798225890794099,0.13350162328912613,0.2631384958054105,0.6561663266678487,-0.010374543430369958
UO_110,9,0.030560368016331937,0.01710764299961899,0.318028820175783,0.3985109784338152,0.06945375598115591
UO_020,5,0.13396636269830622,0.14174660369508696,0.32315612686956924,0.3740781442384416,0.08942732102397806
